Date & Time,ECG_Data
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,323
[2023-04-06 14:21:13.322] ,317
[2023-04-06 14:21:13.322] ,329
[2023-04-06 14:21:13.322] ,330
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,336
[2023-04-06 14:21:13.322] ,337
[2023-04-06 14:21:13.322] ,341
[2023-04-06 14:21:13.322] ,348
[2023-04-06 14:21:13.322] ,360
[2023-04-06 14:21:13.322] ,361
[2023-04-06 14:21:13.322] ,363
[2023-04-06 14:21:13.322] ,371
[2023-04-06 14:21:13.322] ,374
[2023-04-06 14:21:13.322] ,363
[2023-04-06 14:21:13.322] ,356
[2023-04-06 14:21:13.322] ,338
[2023-04-06 14:21:13.322] ,325
[2023-04-06 14:21:13.322] ,311
[2023-04-06 14:21:13.322] ,307
[2023-04-06 14:21:13.322] ,306
[2023-04-06 14:21:13.322] ,303
[2023-04-06 14:21:13.322] ,304
[2023-04-06 14:21:13.322] ,310
[2023-04-06 14:21:13.322] ,301
[2023-04-06 14:21:13.322] ,310
[2023-04-06 14:21:13.322] ,313
[2023-04-06 14:21:13.322] ,308
[2023-04-06 14:21:13.322] ,317
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,322
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,319
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,319
[2023-04-06 14:21:13.322] ,321
[2023-04-06 14:21:13.322] ,322
[2023-04-06 14:21:13.322] ,319
[2023-04-06 14:21:13.322] ,316
[2023-04-06 14:21:13.322] ,326
[2023-04-06 14:21:13.322] ,322
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,322
[2023-04-06 14:21:13.322] ,322
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,325
[2023-04-06 14:21:13.322] ,321
[2023-04-06 14:21:13.322] ,326
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,325
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,321
[2023-04-06 14:21:13.322] ,326
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,340
[2023-04-06 14:21:13.322] ,340
[2023-04-06 14:21:13.322] ,357
[2023-04-06 14:21:13.322] ,354
[2023-04-06 14:21:13.322] ,358
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,316
[2023-04-06 14:21:13.322] ,321
[2023-04-06 14:21:13.322] ,313
[2023-04-06 14:21:13.322] ,317
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,313
[2023-04-06 14:21:13.322] ,417
[2023-04-06 14:21:13.322] ,657
[2023-04-06 14:21:13.322] ,543
[2023-04-06 14:21:13.322] ,251
[2023-04-06 14:21:13.322] ,352
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,311
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,315
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,319
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,330
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,338
[2023-04-06 14:21:13.322] ,347
[2023-04-06 14:21:13.322] ,353
[2023-04-06 14:21:13.322] ,358
[2023-04-06 14:21:13.322] ,368
[2023-04-06 14:21:13.322] ,367
[2023-04-06 14:21:13.322] ,381
[2023-04-06 14:21:13.322] ,376
[2023-04-06 14:21:13.322] ,378
[2023-04-06 14:21:13.322] ,366
[2023-04-06 14:21:13.322] ,346
[2023-04-06 14:21:13.322] ,331
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,312
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,312
[2023-04-06 14:21:13.322] ,305
[2023-04-06 14:21:13.322] ,315
[2023-04-06 14:21:13.322] ,315
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,316
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,314
[2023-04-06 14:21:13.322] ,323
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,319
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,323
[2023-04-06 14:21:13.322] ,321
[2023-04-06 14:21:13.322] ,313
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.339] ,323
[2023-04-06 14:21:13.339] ,313
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,315
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,315
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,325
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,323
[2023-04-06 14:21:13.339] ,331
[2023-04-06 14:21:13.339] ,338
[2023-04-06 14:21:13.339] ,346
[2023-04-06 14:21:13.339] ,353
[2023-04-06 14:21:13.339] ,354
[2023-04-06 14:21:13.339] ,340
[2023-04-06 14:21:13.339] ,324
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,315
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,328
[2023-04-06 14:21:13.339] ,307
[2023-04-06 14:21:13.339] ,342
[2023-04-06 14:21:13.339] ,513
[2023-04-06 14:21:13.339] ,648
[2023-04-06 14:21:13.339] ,354
[2023-04-06 14:21:13.339] ,306
[2023-04-06 14:21:13.339] ,348
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,332
[2023-04-06 14:21:13.339] ,324
[2023-04-06 14:21:13.339] ,332
[2023-04-06 14:21:13.339] ,330
[2023-04-06 14:21:13.339] ,335
[2023-04-06 14:21:13.339] ,325
[2023-04-06 14:21:13.339] ,346
[2023-04-06 14:21:13.339] ,347
[2023-04-06 14:21:13.339] ,351
[2023-04-06 14:21:13.339] ,345
[2023-04-06 14:21:13.339] ,357
[2023-04-06 14:21:13.339] ,360
[2023-04-06 14:21:13.339] ,365
[2023-04-06 14:21:13.339] ,367
[2023-04-06 14:21:13.339] ,380
[2023-04-06 14:21:13.339] ,380
[2023-04-06 14:21:13.339] ,382
[2023-04-06 14:21:13.339] ,381
[2023-04-06 14:21:13.339] ,346
[2023-04-06 14:21:13.339] ,342
[2023-04-06 14:21:13.339] ,332
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,308
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,305
[2023-04-06 14:21:13.339] ,311
[2023-04-06 14:21:13.339] ,311
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,307
[2023-04-06 14:21:13.339] ,313
[2023-04-06 14:21:13.339] ,310
[2023-04-06 14:21:13.339] ,314
[2023-04-06 14:21:13.339] ,323
